SE01;SE02;SE03;SE04;SE05;SE06;SE07;SE08;SE09;SE10;Q15;Q17;Q18;Q4;Q8;Q9;Q11;Q12;Q14;Q6;Q13;Q16;Q3;Q7;Q10;Q1;Q2;Q5
Setuju;Setuju;Setuju;Setuju;Setuju;Sangat setuju;Sangat setuju;Sangat setuju;Setuju;Setuju;Agak setuju;Agak setuju;Agak setuju;Agak setuju;Setuju;Setuju;Setuju;Setuju;Tidak setuju;Agak tidak setuju;Netral;Agak tidak setuju;Tidak setuju;Tidak setuju;Agak setuju;Setuju;Setuju;Agak setuju
Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Agak setuju;Netral;Agak setuju;Netral;Netral;Netral;Setuju;Setuju;Agak tidak setuju;Netral;Agak setuju;Agak tidak setuju;Netral;Agak tidak setuju;Agak setuju;Netral;Netral;Netral
Sangat setuju;Sangat setuju;Sangat setuju;Setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju;Setuju;Setuju;Agak setuju;Agak setuju;Agak setuju;Setuju;Setuju;Agak setuju;Netral;Agak setuju;Agak setuju;Netral;Netral;Tidak setuju;Netral;Sangat setuju;Sangat setuju;Agak tidak setuju
Setuju;Setuju;Setuju;Tidak setuju;Tidak setuju;Sangat setuju;Sangat setuju;Setuju;Sangat setuju;Tidak setuju;Netral;Netral;Setuju;Netral;Netral;Netral;Netral;Agak setuju;Netral;Agak tidak setuju;Tidak setuju;Agak tidak setuju;Setuju;Netral;Tidak setuju;Setuju;Setuju;Agak setuju
Setuju;Tidak setuju;Tidak setuju;Setuju;Tidak setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Agak tidak setuju;Setuju;Sangat setuju;Netral;Sangat setuju;Setuju;Tidak setuju;Netral;Agak tidak setuju;Sangat setuju;Agak setuju;Agak setuju;Sangat tidak setuju;Netral;Agak setuju;Setuju
Sangat setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Netral;Netral;Netral;Netral;Netral;Netral;Netral;Netral;Netral;Netral;Netral;Netral;Netral;Netral;Netral;Netral;Netral;Netral
Sangat setuju;Setuju;Sangat setuju;Setuju;Sangat setuju;Sangat setuju;Setuju;Setuju;Setuju;Setuju;Agak setuju;Agak setuju;Agak setuju;Agak setuju;Setuju;Setuju;Sangat setuju;Sangat setuju;Netral;Netral;Setuju;Setuju;Sangat setuju;Setuju;Setuju;Sangat setuju;Sangat setuju;Sangat setuju
Setuju;Setuju;Sangat setuju;Setuju;Setuju;Setuju;Setuju;Tidak setuju;Setuju;Tidak setuju;Netral;Setuju;Setuju;Setuju;Setuju;Tidak setuju;Sangat setuju;Sangat setuju;Tidak setuju;Agak setuju;Agak setuju;Tidak setuju;Setuju;Setuju;Setuju;Setuju;Agak tidak setuju;Setuju
Tidak setuju;Setuju;Setuju;Setuju;Sangat setuju;Setuju;Sangat setuju;Tidak setuju;Setuju;Sangat tidak setuju;Agak tidak setuju;Sangat setuju;Setuju;Netral;Sangat setuju;Agak setuju;Setuju;Sangat setuju;Agak tidak setuju;Sangat setuju;Netral;Agak tidak setuju;Netral;Sangat tidak setuju;Agak tidak setuju;Tidak setuju;Tidak setuju;Sangat setuju
Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Tidak setuju;Setuju;Setuju;Tidak setuju;Setuju;Setuju;Agak setuju;Netral;Netral;Netral;Setuju;Agak setuju;Netral;Setuju;Setuju;Netral;Netral;Netral;Netral;Setuju;Netral;Netral
Sangat setuju;Setuju;Tidak setuju;Setuju;Setuju;Sangat setuju;Setuju;Setuju;Setuju;Tidak setuju;Tidak setuju;Agak tidak setuju;Agak tidak setuju;Sangat setuju;Sangat setuju;Agak setuju;Sangat setuju;Sangat setuju;Tidak setuju;Agak setuju;Netral;Netral;Netral;Tidak setuju;Tidak setuju;Agak tidak setuju;Agak tidak setuju;Setuju
